Open_time,Open,High,Low,Close,Volume
2021-06-16,353.06,353.06,350.37,350.64,40905.7787
2021-06-16,350.63,352.13,350.13,351.93,15068.0483
2021-06-16,351.88,353.51,350.9,352.17,13477.1811
2021-06-16,352.18,353.42,351.51,351.76,14519.1145
2021-06-16,351.77,356.7,351.69,354.67,24858.4015
2021-06-16,354.72,355.51,353.44,354.22,14600.3963
2021-06-16,354.24,354.99,352.57,354.93,14956.0284
2021-06-16,354.93,355.18,353.33,355.0,8768.6994
2021-06-16,355.0,355.23,352.57,352.9,11292.0652
2021-06-16,352.91,354.2,352.91,353.36,6336.5295
2021-06-16,353.36,353.76,346.93,348.26,48905.0408
2021-06-16,348.26,350.18,346.19,346.85,22745.8124
2021-06-16,346.83,348.06,346.43,347.07,14367.7824
2021-06-16,347.07,348.41,346.97,347.99,14992.8096
2021-06-16,347.99,349.96,346.78,349.59,14097.8539
2021-06-16,349.59,353.35,348.02,352.7,38786.1115
2021-06-16,352.7,352.83,348.68,349.47,17791.9343
2021-06-16,349.49,350.9,348.6,349.0,11016.6746
2021-06-16,348.99,349.26,344.0,346.37,32582.7475
2021-06-16,346.37,348.14,343.35,348.01,25374.3258
2021-06-16,348.01,348.42,345.25,347.0,14994.2297
2021-06-16,346.99,350.5,346.94,348.95,20359.1336
2021-06-16,348.95,351.0,347.99,350.39,18221.6382
2021-06-16,350.34,355.0,346.15,350.95,82705.3754
2021-06-16,350.92,351.0,347.01,347.94,23002.9228
2021-06-16,347.97,349.39,347.31,348.79,23110.8575
2021-06-16,348.81,351.97,348.59,351.55,21331.4646
2021-06-16,351.58,353.0,351.12,352.9,14529.9189
2021-06-16,352.9,353.56,352.0,352.83,10872.9417
2021-06-16,352.77,353.32,351.35,352.54,8754.6659
2021-06-16,352.57,352.57,351.34,351.54,7115.8661
2021-06-16,351.58,351.78,348.0,351.07,18133.0545
2021-06-16,351.07,352.0,349.82,350.44,7048.0315
2021-06-16,350.43,351.4,349.55,350.2,7260.7855
2021-06-16,350.2,351.73,349.69,350.01,6701.7248
2021-06-16,350.02,350.36,349.11,349.54,6745.2401
2021-06-16,349.56,351.69,349.49,351.51,5095.3777
2021-06-16,351.52,352.69,350.8,350.95,7896.6179
2021-06-16,350.91,353.09,350.8,352.47,6510.547
2021-06-16,352.47,353.44,351.73,352.48,6031.5869
2021-06-16,352.55,352.73,349.99,350.9,10802.9174
2021-06-16,350.9,351.35,349.23,349.32,7164.9899
2021-06-16,349.33,350.27,348.6,349.28,7801.0084
2021-06-16,349.27,349.42,347.07,347.86,10858.7194
2021-06-16,347.89,347.97,345.6,345.97,26004.3636
2021-06-16,345.97,346.28,345.0,345.24,28269.84
2021-06-16,345.28,347.47,345.02,347.22,7463.59
2021-06-16,347.22,350.33,345.85,350.2,17004.2607
2021-06-16,350.2,351.5,349.39,350.72,14940.4075
2021-06-16,350.72,352.3,350.5,351.92,13015.0446
2021-06-16,351.92,351.92,350.6,351.65,7492.299
2021-06-16,351.66,352.56,350.04,352.56,15453.1111
2021-06-16,352.55,353.3,351.68,352.66,13483.8962
2021-06-16,352.66,353.07,351.84,352.24,5800.6763
2021-06-16,352.27,353.73,352.26,353.66,6307.005
2021-06-16,353.72,354.74,352.8,354.63,13352.8677
2021-06-16,354.64,355.55,354.33,355.51,16693.7614
2021-06-16,355.51,356.24,354.37,355.09,18574.3613
2021-06-16,355.08,355.35,354.08,354.4,8832.9052
2021-06-16,354.39,356.9,354.39,356.44,12485.7237
2021-06-16,356.49,356.87,355.4,356.52,11943.1543
2021-06-16,356.51,357.42,356.0,356.36,10147.0108
2021-06-16,356.37,357.1,355.69,356.99,7352.1055
2021-06-16,357.0,360.71,357.0,359.66,29625.9702
2021-06-16,359.64,360.72,358.52,358.7,13893.9937
2021-06-16,358.69,359.93,355.93,356.54,16963.3636
2021-06-16,356.61,357.92,356.31,356.64,14666.9786
2021-06-17,356.64,357.6,355.3,356.52,15219.6494
2021-06-17,356.53,357.1,355.84,356.06,5791.2249
2021-06-17,356.13,357.39,356.13,357.14,8654.4762
2021-06-17,357.14,357.56,356.2,356.57,12288.8239
2021-06-17,356.58,357.66,356.56,357.4,7141.3118
2021-06-17,357.41,360.28,356.61,360.18,20821.774
2021-06-17,360.15,360.62,358.56,360.35,12908.3568
2021-06-17,360.37,361.5,359.66,361.23,13970.1183
2021-06-17,361.22,361.9,360.06,360.96,19036.7082
2021-06-17,360.96,361.47,359.73,360.94,11326.8654
2021-06-17,360.93,362.47,360.75,362.39,12202.6737
2021-06-17,362.39,362.4,359.97,360.25,11838.7642
2021-06-17,360.3,361.97,359.7,359.82,13606.341
2021-06-17,359.82,360.27,358.75,359.57,12320.8367
2021-06-17,359.63,361.5,359.63,360.39,9903.3062
2021-06-17,360.38,360.49,358.16,359.69,13024.0283
2021-06-17,359.69,360.16,358.29,359.13,10606.0857
2021-06-17,359.13,359.3,357.83,359.06,11983.4079
2021-06-17,359.07,360.0,358.99,359.74,8396.9102
